"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","MANUFACTURER","MANUFACTURER PART NUMBER 1","MOUNT TYPE","MOUNTING TYPE","N OF POSITIONS","PARTNUMBER","PITCH","PUBLISHED","PUBLISHER","ROLL SPACING","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"OSTTC042162","TBLOCK 4x5.08","","OSTTC042162","","","","On Shore Technology Inc.","","PTH","","4","","5.08mm","","","","Digi-Key","","","","","","ED2611-ND","","","","","","OSTTC042162","*","CN?","TERM BLOCK 5.08MM VERT 4POS PCB"
"OSTVN04A150","TBLOCK 4x2.54","","OSTVN04A150","","","","On Shore Technology Inc.","","PTH","","4","","2.54mm","","","","Digi-Key","Farnell","","","","","ED10563-ND","3041414","","","","","OSTVN04A150","*","CN?","CONN TERM BLOCK 2.54MM 4POS PCB"
"PJ-002B","DC Jack","","PJ-002B","","","","CUI Inc","","PTH","","3","","2.5mm","","","","Mouser","Digi-Key","","","","","490-PJ-002B","CP-002B-ND","","","","","DC Jack","*","CN?","CONN POWER JACK MALE 2.5MM CLSD"
"PPTC041LFBN-RC","HEADER 4 2.54mm 180 GRAUS","","PPTC041LFBN-RC","","","","Sullins Connector Solutions","","PTH","","4","","2.54mm","","","","Digi-Key","Newark","Farnell","","","","S7002-ND","38K5904","7991932","","","","PPTC041LFBN-RC","*","CN?","CONN RECEPT 4POS .100 VERT TIN"
"PPTC041LGBN-RC","HEADER 4 2.54mm 90 GRAUS","","PPTC041LGBN-RC","","","","Sullins Connector Solutions","","PTH","","4","","2.54mm","","","","Digi-Key","Newark","Farnell","","","","S5440-ND","11P9381","1668345","","","","PPTC041LGBN-RC","*","CN?","CONN RECEPT 4POS .100 RGT ANGLE TIN"
"PPTC101LFBN-RC","HEADER 10 2.54mm 180 GRAUS","","PPTC101LFBN-RC","","","","Sullins Connector Solutions","","PTH","","10","","2.54mm","","","","Digi-Key","","","","","","S7008-ND","","","","","","PPTC101LFBN-RC","*","CN?","CONN RECEPT 10POS .100 VERT PTH"
"RJE73-188-00440","RJ45 RJE73-188","","RJE73-188-00440","","","","Amphenol Commercial Products","","PTH","","12","","2.03mm","","","","Newark","Mouser","Digi-Key","","","","47W2109","523-RJE7318800440","RJE73-188-00440CT-ND","","","","RJE73-188-00440","*","CN?","CONN MOD JACK 8P8C R/A SHIELDED"
"RJHSE-5481","RJ45 RJHSE-5481","","RJHSE-5481","","","","Amphenol Commercial Products","","PTH","","12","","2.03mm","","","","Digikey","Newark","Arrow","Farnell","","","RJHSE-5481-ND","39M1073","RJHSE5481","2095417","","","RJHSE-5481","*","CN?","CONN MOD JACK 8P8C R/A SHIELDED"
"S12B-ZR-SM4A-TF(LF)(SN)","S12B-ZR-SM4A-TF(LF)(SN)","","S12B-ZR-SM4A-TF(LF)(SN)","","","","Molex, LLC","","SMD","","12","","0.059" (1.50mm)","","","","Digi-Key","Digi-Key","","","","","455-1702-6-ND","455-1702-1-ND","","","","","*","*","CN?","CONN HEADER ZH SIDE 12POS 1.5MM"
"S5B-PH-K-S(LF)(SN)","HEADER PH 90 5POS 2MM","","S5B-PH-K-S(LF)(SN)","","","","JST Sales America Inc","","PTH","","5","","2mm","","","","Digikey","Newark","Farnell","","","","455-1722-ND","38K8078","9492496","","","","S5B-PH-K-S(LF)(SN)","*","CN?","CONN HEADER PH SIDE 5POS 2MM"
"SBH11-PBPC-D05-RA-BK","HEADER 2X5 2.54mm 90 GRAUS SHROUDED","","SBH11-PBPC-D05-RA-BK","","","","Sullins Connector Solutions","","SMD","","10","","2.54","","","","Digi-Key","","","","","","S9177-ND","","","","","","SBH11-PBPC-D05-RA-BK","*","CN?","CONN HEADR 2.54MM 10POS GOLD R/A"
"SBH11-PBPC-D05-ST-BK","HEADER 2X5 2.54mm 180 GRAUS SHROUDED","","SBH11-PBPC-D05-ST-BK","","","","Sullins Connector Solutions","","SMD","","10","","2.54","","","","Digi-Key","","","","","","S9169-ND","","","","","","SBH11-PBPC-D05-ST-BK","*","CN?","CONN HEADER 2.54MM 10POS GOLD"
"SBH21-NBPN-D05-ST-BK","HEADER 2X5 2mm 180 GRAUS","","SBH21-NBPN-D05-ST-BK","","","","FCI","","PTH","","10","","2mm","","","","Digi-Key","","","","","","S9018-ND","","","","","","SBH21-NBPN-D05-ST-BK","*","CN?","CONN HEAD 2MM 10POS GOLD"
